model,dataset,video_id,object_id,static_expression_count,dynamic_expression_count,static_expression_ids,dynamic_expression_ids,static_J,static_F,static_J_and_F,dynamic_J,dynamic_F,dynamic_J_and_F,dynamic_minus_static_J_and_F,dynamic_worse
Sa2VA-Qwen3-VL-4B,long_rvos,0310d3743b,3,1,2,8,12;9,0.1683547511402559,0.21754366475592973,0.1929492079480928,0.08123815314449236,0.15175269349147097,0.11649542331798166,-0.07645378463011115,1
Sa2VA-Qwen3-VL-4B,long_rvos,046ee6aa1a,2,1,2,2,3;5,0.3488245622573849,0.18058993595591416,0.26470724910664956,0.3494863212635293,0.17925267168339307,0.2643694964734612,-0.0003377526331883596,1
Sa2VA-Qwen3-VL-4B,long_rvos,0d0ebe00cc,2,2,2,4;6,5;7,0.47385051574108084,0.3748347313212833,0.4243426235311821,0.42317381847221547,0.34193026548800964,0.3825520419801126,-0.04179058155106946,1
Sa2VA-Qwen3-VL-4B,long_rvos,1088228079,1,1,1,0,1,0.917772228776994,0.96815720245054,0.942964715613767,0.914320676596289,0.965492485323038,0.9399065809596635,-0.0030581346541035392,1
Sa2VA-Qwen3-VL-4B,long_rvos,119777f4c0,1,2,2,0;2,1;3,0.20173894900082945,0.20358375678980206,0.20266135289531576,0.17702355068080206,0.1652670512978061,0.17114530098930408,-0.03151605190601167,1
Sa2VA-Qwen3-VL-4B,long_rvos,18b160d3a7,2,1,1,4,5,0.7716770227118814,0.34028389847435636,0.5559804605931189,0.27835188267569544,0.2118730489491959,0.24511246581244567,-0.31086799478067323,1
Sa2VA-Qwen3-VL-4B,long_rvos,1a5dead3e3,1,1,1,0,1,0.7534996082365297,0.73756624201419,0.7455329251253598,0.6997291577459577,0.6800678943145329,0.6898985260302453,-0.055634399095114584,1
Sa2VA-Qwen3-VL-4B,long_rvos,20eaede0fb,2,1,1,4,5,0.0625,0.0625,0.0625,0.015625,0.015625,0.015625,-0.046875,1
Sa2VA-Qwen3-VL-4B,long_rvos,22680d3b50,4,2,2,3;5,4;6,0.6720229150389669,0.7301968208605174,0.7011098679497421,0.4797658174144672,0.525478933793643,0.5026223756040551,-0.19848749234568697,1
Sa2VA-Qwen3-VL-4B,long_rvos,2683deffcb,1,1,1,0,1,0.8191062484115157,0.8432295816443338,0.8311679150279248,0.8097491686269884,0.8266392606984897,0.818194214662739,-0.012973700365185747,1
Sa2VA-Qwen3-VL-4B,long_rvos,28ff632792,1,1,2,0,1;6,0.33033970959423314,0.3299314860178555,0.3301355978060443,0.3316453160533925,0.33061545279564175,0.33113038442451714,0.0009947866184728538,0
Sa2VA-Qwen3-VL-4B,long_rvos,2a87bea97e,1,2,2,0;2,1;3,0.6080338097606204,0.4191154744105824,0.5135746420856013,0.5864088986795287,0.4017459597107208,0.49407742919512476,-0.019497212890476567,1
Sa2VA-Qwen3-VL-4B,long_rvos,2abb12f2f7,1,1,1,0,1,0.5835349163564623,0.6279021652217023,0.6057185407890823,0.05322077946684069,0.4119295831718974,0.23257518131936902,-0.3731433594697132,1
Sa2VA-Qwen3-VL-4B,long_rvos,2c4cbde1aa,1,2,2,0;2,1;3,0.1347801774153074,0.13526379418276102,0.13502198579903418,0.07846035908517808,0.05415647917247981,0.06630841912882895,-0.06871356667020523,1
Sa2VA-Qwen3-VL-4B,long_rvos,2cfdc294c5,1,2,3,0;2,1;3;8,0.8284393061208192,0.8113360945395798,0.8198877003301994,0.8488517788709086,0.833608375712282,0.8412300772915954,0.02134237696139596,0
Sa2VA-Qwen3-VL-4B,long_rvos,30c20fb4c1,3,2,2,10;8,11;9,0.4048044317653414,0.4116235999229617,0.4082140158441516,0.5201505800748341,0.47901801754475826,0.49958429880979616,0.09137028296564453,0
Sa2VA-Qwen3-VL-4B,long_rvos,30f4d962f9,1,1,1,0,1,0.7968437487454565,0.741061760248647,0.7689527544970518,0.7861469788360556,0.7153928946442659,0.7507699367401608,-0.018182817756891012,1
Sa2VA-Qwen3-VL-4B,long_rvos,31a352c169,1,2,2,0;2,1;3,0.916984142472943,0.852302082058383,0.8846431122656631,0.9174787946076755,0.8529495794688442,0.8852141870382597,0.0005710747725966581,0
Sa2VA-Qwen3-VL-4B,long_rvos,39db436191,3,1,1,4,5,0.3983717392278687,0.4044791136605014,0.40142542644418505,0.35136714493489823,0.3646860027856947,0.35802657386029646,-0.04339885258388859,1
Sa2VA-Qwen3-VL-4B,long_rvos,41c5109249,1,1,1,0,1,0.8246778738143938,0.7940636392783063,0.80937075654635,0.8178208938298328,0.7932804863997122,0.8055506901147724,-0.003820066431577618,1
Sa2VA-Qwen3-VL-4B,long_rvos,5c0c9c0098,3,1,1,8,9,0.07846045683563305,0.08885006454342372,0.08365526068952839,0.06254897601150577,0.06961117232387234,0.06608007416768906,-0.01757518652183933,1
Sa2VA-Qwen3-VL-4B,long_rvos,5d262b025c,1,1,1,0,1,0.8525191880682064,0.8816686090310717,0.867093898549639,0.8562566338100916,0.8852269181920689,0.8707417760010803,0.0036478774514412393,0
Sa2VA-Qwen3-VL-4B,long_rvos,5d2c735adb,1,1,1,0,1,0.12354657465029024,0.14250094749103004,0.13302376107066013,0.11497345848378485,0.136192495872962,0.1255829771783734,-0.007440783892286723,1
Sa2VA-Qwen3-VL-4B,long_rvos,68170c3f7a,2,2,2,4;6,5;7,0.08709093009121925,0.097664476193698,0.09237770314245863,0.08475072257496657,0.09654492767930689,0.09064782512713673,-0.0017298780153219007,1
Sa2VA-Qwen3-VL-4B,long_rvos,6a1db02e31,2,2,2,4;6,5;7,0.20115524346448974,0.18772333345413572,0.19443928845931271,0.13925191326649633,0.13180092957126838,0.13552642141888235,-0.05891286704043036,1
Sa2VA-Qwen3-VL-4B,long_rvos,6bf32cc0d5,2,2,1,4;5,6,0.020146572388318365,0.06476881623680905,0.0424576943125637,0.04361293220026094,0.08604492002555345,0.06482892611290719,0.02237123180034349,0
Sa2VA-Qwen3-VL-4B,long_rvos,6d76f5cbc2,1,2,2,0;2,1;3,0.7441888085866829,0.7894638598718094,0.7668263342292462,0.7438191261395333,0.7872880331530091,0.7655535796462711,-0.0012727545829750442,1
Sa2VA-Qwen3-VL-4B,long_rvos,6db18ab93a,1,2,2,0;2,1;3,0.417436775148739,0.36433361453883045,0.39088519484378476,0.5371359778027964,0.4895117460471264,0.5133238619249614,0.12243866708117662,0
Sa2VA-Qwen3-VL-4B,long_rvos,6fb7a04167,12,2,2,4;6,5;7,0.10374449861205702,0.13689523035183632,0.12031986448194668,0.3262185178506418,0.2986070016185839,0.31241275973461285,0.19209289525266618,0
Sa2VA-Qwen3-VL-4B,long_rvos,7bdbd4f32f,1,2,2,0;2,1;3,0.6844986913967083,0.7135201428030638,0.699009417099886,0.9129343784932809,0.9213189365484545,0.9171266575208676,0.21811724042098168,0
Sa2VA-Qwen3-VL-4B,long_rvos,7caa203c75,2,1,1,2,3,0.7400277555366834,0.5797026729770279,0.6598652142568557,0.7860062763348732,0.6327117305497308,0.7093590034423021,0.049493789185446335,0
Sa2VA-Qwen3-VL-4B,long_rvos,8086f00d3d,2,2,2,4;6,5;7,0.9723015257810977,0.8127881998477984,0.8925448628144481,0.9463335780122589,0.7945010824404225,0.8704173302263407,-0.0221275325881074,1
Sa2VA-Qwen3-VL-4B,long_rvos,8093ebd9a3,3,1,1,8,9,0.1121798419317325,0.27695373104698584,0.19456678648935916,0.18356238968296934,0.36529452847374816,0.2744284590783588,0.07986167258899962,0
Sa2VA-Qwen3-VL-4B,long_rvos,8290c48fcb,9,1,1,16,17,0.591041154469255,0.5027040302314243,0.5468725923503397,0.7380142322846053,0.6489469248168775,0.6934805785507414,0.14660798620040172,0
Sa2VA-Qwen3-VL-4B,long_rvos,84dc481247,3,2,1,10;8,9,0.17903320637883688,0.10676669701663427,0.14289995169773556,0.27392188075050816,0.18347824766995136,0.22870006421022976,0.0858001125124942,0
Sa2VA-Qwen3-VL-4B,long_rvos,882e8c62d3,2,1,1,2,3,0.19555182645756436,0.20309089996496726,0.1993213632112658,0.17158016708732898,0.1793505133047154,0.1754653401960222,-0.023856023015243616,1
Sa2VA-Qwen3-VL-4B,long_rvos,8847e5550e,2,1,1,2,3,0.49390962776576725,0.5353564170743446,0.5146330224200559,0.33634536214524174,0.37710407288884695,0.3567247175170444,-0.15790830490301155,1
Sa2VA-Qwen3-VL-4B,long_rvos,8b0e20e373,1,1,1,0,1,0.39258222903060447,0.369770540098922,0.3811763845647632,0.397495895070503,0.38092174858984945,0.38920882183017624,0.008032437265413028,0
Sa2VA-Qwen3-VL-4B,long_rvos,939b6aed6d,7,2,1,24;25,26,0.49967277105124097,0.41119522943153164,0.45543400024138625,0.595635192036163,0.5316594702678474,0.5636473311520052,0.10821333091061891,0
Sa2VA-Qwen3-VL-4B,long_rvos,976257d833,1,2,2,0;2,1;3,0.8130745684194545,0.6620081351931417,0.7375413518062981,0.8155503707738343,0.661152778322534,0.7383515745481841,0.0008102227418860242,0
Sa2VA-Qwen3-VL-4B,long_rvos,9bc92f09e0,1,2,2,0;2,1;3,0.5270348050753413,0.6373730613700839,0.5822039332227126,0.5021286870495814,0.6123822152051792,0.5572554511273803,-0.02494848209533229,1
