comparison,description_type,space,metric,aggregation_unit,n,mean,median,std
same_expression_n8_vs_n32,static,h_seg,cosine_similarity,expression,425,0.9571572126228836,0.9712132664559538,0.048153450808894493
same_expression_n8_vs_n32,static,h_seg,angular_distance_radians,expression,425,0.2710093174367624,0.24052407922570548,0.11721770242142811
same_expression_n8_vs_n32,static,h_seg,normalized_l2,expression,425,0.2695570187023956,0.2399447167330265,0.11425982142218886
same_expression_n8_vs_n32,static,z_seg,cosine_similarity,expression,425,0.9808751938844752,0.9896462357205966,0.03408801682252303
same_expression_n8_vs_n32,static,z_seg,angular_distance_radians,expression,425,0.1695446223717611,0.1440255568532261,0.10035203951259368
same_expression_n8_vs_n32,static,z_seg,normalized_l2,expression,425,0.1689975451689359,0.14390110687137528,0.098550973690628
same_expression_n8_vs_n32,dynamic,h_seg,cosine_similarity,expression,418,0.9610513195815247,0.9710122404073572,0.03391988478093089
same_expression_n8_vs_n32,dynamic,h_seg,angular_distance_radians,expression,418,0.2629748421814667,0.24136641874450437,0.09839371406063323
same_expression_n8_vs_n32,dynamic,h_seg,normalized_l2,expression,418,0.2618351722526939,0.24078094928498478,0.09675794943381341
same_expression_n8_vs_n32,dynamic,z_seg,cosine_similarity,expression,418,0.9804811299519718,0.9888511542497446,0.025159430387759016
same_expression_n8_vs_n32,dynamic,z_seg,angular_distance_radians,expression,418,0.1751509155448645,0.14945976882237336,0.09342064621117178
same_expression_n8_vs_n32,dynamic,z_seg,normalized_l2,expression,418,0.1746731440499861,0.14932067732225443,0.09245258981639325
same_expression_n8_vs_n32,hybrid,h_seg,cosine_similarity,expression,346,0.9581992155543796,0.9705181304799966,0.040655972989883306
same_expression_n8_vs_n32,hybrid,h_seg,angular_distance_radians,expression,346,0.26976955738700614,0.24342475989775292,0.10972394785739405
same_expression_n8_vs_n32,hybrid,h_seg,normalized_l2,expression,346,0.26844707830816694,0.24282418839264616,0.10756940898465396
same_expression_n8_vs_n32,hybrid,z_seg,cosine_similarity,expression,346,0.9805685651759153,0.9896247220827523,0.028561927857002154
same_expression_n8_vs_n32,hybrid,z_seg,angular_distance_radians,expression,346,0.17198350430863923,0.14417317558929366,0.09861480801156555
same_expression_n8_vs_n32,hybrid,z_seg,normalized_l2,expression,346,0.17147582084231822,0.1440483311394053,0.09739779079807774
same_object_static_vs_dynamic_n16,all_official,h_seg,cosine_similarity,object,274,0.9195307921395872,0.9518897408605634,0.0831575610942333
same_object_static_vs_dynamic_n16,all_official,h_seg,angular_distance_radians,object,274,0.36568983547043354,0.31144706838204417,0.1791997326570703
same_object_static_vs_dynamic_n16,all_official,h_seg,normalized_l2,object,274,0.3619072240178233,0.3101897245357508,0.1734108597826641
same_object_static_vs_dynamic_n16,all_official,z_seg,cosine_similarity,object,274,0.952764039519479,0.9788514105773465,0.06783171653964734
same_object_static_vs_dynamic_n16,all_official,z_seg,angular_distance_radians,object,274,0.25754183677532394,0.20602677782951612,0.17516752173093128
same_object_static_vs_dynamic_n16,all_official,z_seg,normalized_l2,object,274,0.255521135952546,0.2056625846420173,0.17113666958433685
same_video_different_object_n16,all_official,h_seg,cosine_similarity,source_video,87,0.66743144172476,0.6493758788219901,0.11637342283777181
same_video_different_object_n16,all_official,h_seg,angular_distance_radians,source_video,87,0.8181723209528718,0.8632358209520242,0.17295289941312028
same_video_different_object_n16,all_official,h_seg,normalized_l2,source_video,87,0.7914038550215766,0.8358927612065257,0.16032255324427871
same_video_different_object_n16,all_official,z_seg,cosine_similarity,source_video,87,0.7369924202937164,0.7277895165030334,0.1030699286111932
same_video_different_object_n16,all_official,z_seg,angular_distance_radians,source_video,87,0.715728901119765,0.740878846573969,0.17004618716563516
same_video_different_object_n16,all_official,z_seg,normalized_l2,source_video,87,0.6968410895208315,0.7214527483418799,0.1602728517089844
