analysis,description_type,budget_pair,space,metric,n,mean,median,std
same_expression_frame_budget,static,8_vs_16,h_seg,cosine_similarity,425,0.9708862067539427,0.9823310546726194,0.039528311933872975
same_expression_frame_budget,static,8_vs_16,h_seg,angular_distance_radians,425,0.2179302942523598,0.1882616467926831,0.10775660830640776
same_expression_frame_budget,static,8_vs_16,h_seg,normalized_l2,425,0.21704663634083907,0.18798375103918213,0.1055678296405626
same_expression_frame_budget,static,8_vs_16,z_seg,cosine_similarity,425,0.9871631466125126,0.9936980051070311,0.02059252731335373
same_expression_frame_budget,static,8_vs_16,z_seg,angular_distance_radians,425,0.1378456319516257,0.11232653497060321,0.083007472073521
same_expression_frame_budget,static,8_vs_16,z_seg,normalized_l2,425,0.13756135617034523,0.11226749211564943,0.08225874569275533
same_expression_frame_budget,static,16_vs_32,h_seg,cosine_similarity,425,0.9823765190979606,0.9892524740149491,0.03180656069207726
same_expression_frame_budget,static,16_vs_32,h_seg,angular_distance_radians,425,0.16753940603903428,0.14674353753359856,0.08758102354318234
same_expression_frame_budget,static,16_vs_32,h_seg,normalized_l2,425,0.16706583234814093,0.14661190937335858,0.08575121737141639
same_expression_frame_budget,static,16_vs_32,z_seg,cosine_similarity,425,0.9921240534709344,0.9967863677594204,0.026846694711910018
same_expression_frame_budget,static,16_vs_32,z_seg,angular_distance_radians,425,0.09957945051261474,0.08019170725017356,0.07834853687964906
same_expression_frame_budget,static,16_vs_32,z_seg,normalized_l2,425,0.09935028775541815,0.08017022191037752,0.07678075695785543
same_expression_frame_budget,static,8_vs_32,h_seg,cosine_similarity,425,0.9571572126228836,0.9712132664559538,0.048153450808894493
same_expression_frame_budget,static,8_vs_32,h_seg,angular_distance_radians,425,0.2710093174367624,0.24052407922570548,0.11721770242142811
same_expression_frame_budget,static,8_vs_32,h_seg,normalized_l2,425,0.2695570187023956,0.2399447167330265,0.11425982142218886
same_expression_frame_budget,static,8_vs_32,z_seg,cosine_similarity,425,0.9808751938844752,0.9896462357205966,0.03408801682252303
same_expression_frame_budget,static,8_vs_32,z_seg,angular_distance_radians,425,0.1695446223717611,0.1440255568532261,0.10035203951259368
same_expression_frame_budget,static,8_vs_32,z_seg,normalized_l2,425,0.1689975451689359,0.14390110687137528,0.098550973690628
same_expression_frame_budget,dynamic,8_vs_16,h_seg,cosine_similarity,418,0.9746191073145396,0.9838354892477689,0.026911937791304855
same_expression_frame_budget,dynamic,8_vs_16,h_seg,angular_distance_radians,418,0.20796256950765907,0.18004580890365662,0.08944973629582668
same_expression_frame_budget,dynamic,8_vs_16,h_seg,normalized_l2,418,0.2073221186450592,0.1798027217895413,0.08830617161818664
same_expression_frame_budget,dynamic,8_vs_16,z_seg,cosine_similarity,418,0.9872141440213656,0.9931057924460682,0.019265728809850453
same_expression_frame_budget,dynamic,8_vs_16,z_seg,angular_distance_radians,418,0.13879147111983398,0.1174911667657623,0.08066274288169799
same_expression_frame_budget,dynamic,8_vs_16,z_seg,normalized_l2,418,0.13851838280090756,0.11742359889748788,0.07999799886434075
same_expression_frame_budget,dynamic,16_vs_32,h_seg,cosine_similarity,418,0.9840898898337505,0.9887322378536966,0.01810225127377021
same_expression_frame_budget,dynamic,16_vs_32,h_seg,angular_distance_radians,418,0.16525535825205007,0.15025967971893706,0.06870269690680118
same_expression_frame_budget,dynamic,16_vs_32,h_seg,normalized_l2,418,0.16493447780554918,0.15011836296729758,0.06802874332470425
same_expression_frame_budget,dynamic,16_vs_32,z_seg,cosine_similarity,418,0.9929555604474417,0.9965546918447452,0.011965679330134461
same_expression_frame_budget,dynamic,16_vs_32,z_seg,angular_distance_radians,418,0.1015980919584209,0.08303353195369986,0.06197700689315936
same_expression_frame_budget,dynamic,16_vs_32,z_seg,normalized_l2,418,0.1014794792404562,0.08300968056807585,0.06164320751105536
same_expression_frame_budget,dynamic,8_vs_32,h_seg,cosine_similarity,418,0.9610513195815247,0.9710122404073572,0.03391988478093089
same_expression_frame_budget,dynamic,8_vs_32,h_seg,angular_distance_radians,418,0.2629748421814667,0.24136641874450437,0.09839371406063323
