prompt_method,description_type,aggregation,expressions,objects,mean_oracle_J,mean_oracle_F,mean_oracle_J_and_F,recall_at_0_3,recall_at_0_5,recall_at_0_7,mean_candidate_count,median_candidate_count,p95_candidate_count,min_candidate_count,max_candidate_count
concept,static,expression_weighted,47,32,0.626353240998107,0.626362530767171,0.6263578858826389,0.7659574468085106,0.723404255319149,0.574468085106383,5.553191489361702,3.0,14.699999999999996,0.0,16.0
concept,static,object_weighted,47,32,0.6123356852263993,0.615448204283179,0.6138919447547891,0.765625,0.71875,0.53125,5.869791666666666,4.5,14.45,0.0,16.0
concept,dynamic,expression_weighted,45,32,0.7279685399637312,0.7273967101901813,0.7276826250769561,0.9111111111111111,0.8666666666666667,0.6888888888888889,6.444444444444445,5.0,14.0,2.0,15.0
concept,dynamic,object_weighted,45,32,0.7140966049475799,0.7179952578546076,0.7160459314010938,0.90625,0.859375,0.65625,6.6875,5.25,14.45,2.0,15.0
concept,hybrid,expression_weighted,40,31,0.604797361542417,0.5992128687203724,0.6020051151313947,0.75,0.725,0.575,4.925,3.0,15.0,0.0,16.0
concept,hybrid,object_weighted,40,31,0.5605842532958031,0.5631588042335018,0.5618715287646525,0.6935483870967742,0.6612903225806451,0.5215053763440859,5.043010752688171,3.0,15.0,0.0,16.0
qwen_concept,static,expression_weighted,47,32,0.6442961687130423,0.6413834025483834,0.6428397856307128,0.8297872340425532,0.7659574468085106,0.574468085106383,5.851063829787234,4.0,15.0,0.0,16.0
qwen_concept,static,object_weighted,47,32,0.6336478584865934,0.6358715417533916,0.6347597001199925,0.828125,0.75,0.53125,6.140625,4.25,15.0,0.0,16.0
qwen_concept,dynamic,expression_weighted,45,32,0.7116727592174347,0.7115164275103422,0.7115945933638885,0.9111111111111111,0.8444444444444444,0.6444444444444445,6.222222222222222,5.0,14.0,2.0,15.0
qwen_concept,dynamic,object_weighted,45,32,0.7029491411576501,0.707144875152923,0.7050470081552866,0.90625,0.84375,0.625,6.484375,5.0,14.45,2.0,15.0
qwen_concept,hybrid,expression_weighted,39,30,0.700810053557226,0.69457740393317,0.697693728745198,0.8717948717948718,0.8461538461538461,0.6410256410256411,5.0,4.0,11.100000000000001,1.0,14.0
qwen_concept,hybrid,object_weighted,39,30,0.6681863943301525,0.6692469126515496,0.668716653490851,0.8333333333333334,0.8,0.5833333333333334,5.066666666666666,4.0,11.549999999999997,1.0,14.0
raw_expression,static,expression_weighted,47,32,0.39688529939740996,0.38698142847226036,0.39193336393483513,0.5531914893617021,0.44680851063829785,0.23404255319148937,1.5106382978723405,1.0,5.0,0.0,8.0
raw_expression,static,object_weighted,47,32,0.3960941651130062,0.38910062246394006,0.39259739378847314,0.5625,0.4375,0.22395833333333331,1.5364583333333333,1.0,4.0,0.0,7.0
raw_expression,dynamic,expression_weighted,45,32,0.26609860511788164,0.2714081254899031,0.2687533653038924,0.37777777777777777,0.3111111111111111,0.2222222222222222,1.5555555555555556,0.0,7.799999999999997,0.0,11.0
raw_expression,dynamic,object_weighted,45,32,0.24534504018472106,0.250405736094932,0.2478753881398265,0.35416666666666663,0.27604166666666663,0.21354166666666666,1.5729166666666665,0.41666666666666663,5.725,0.0,11.0
raw_expression,hybrid,expression_weighted,40,31,0.3219590460999435,0.32532557169259696,0.32364230889627027,0.45,0.375,0.225,1.675,1.0,7.0,0.0,7.0
raw_expression,hybrid,object_weighted,40,31,0.32978670828058504,0.3367544303008353,0.33327056929071014,0.46236559139784944,0.3655913978494623,0.24193548387096775,1.9086021505376343,1.0,7.0,0.0,7.0
